"A1","Plats cuisinés"
"L1","Cuisses de grenouilles fraiches congelées ou surgelées, cuisses de"
"L2","Escargots décoquillés surgelés ou congelés"
"M1","Semi-conserves pasteurisées"
"M2","Semi-conserves non pasteurisées, rollmops, harengs saurs,"
"M3","Saumon fumé, haddock et autres poissons légèrement fumés et salés"
"M6","Anchois en saumure, semi-conserve à base d'anchois salés"
"N1","Lait en poudre pour consommation humaine"
"N2","Lait concentré non sucré"
"N3","Lait concentré sucré"
"N4","Lait pasteurisé conditionné jusqu'à J+4"
"N5","Lait pasteurisé conditionné à la date de péremption"
"N6","Lait cru au jour de conditionnement"
"N7","Lait cru à la DLC"
"N8","Crème crue"
"O1","Glaces et crèmes glacées"
"O2","Lait fermenté (yaourts, kéfir)"
"O3","Fromages frais pasteurisés"
"O4","Crème de consommation pasteurisée conditionnée"
"O5","Crème de consommation pasteurisée maturée conditionnée"
"O6","Laits gélifiés et laits emprésurés aromatisés"
"O7","Fromages à pâte molle au lait traité thermiquement"
"O8","Fromages à pâte cuite pressée (critères ITG)"
"O9","Boissons lactées"
"P1","Pâtisseries à base de crème, crèmes pâtissières"
"P2","Ovoproduits pasteurisés"
"P3","Pâtisseries à base de crème chantilly maturée"
"P4","Fromage au lait cru et au lait thermisé"
"P5","Fromages au lait traité thermiquement autres que ceux à pâte molle ou à"
"P6","Camemberts à base de lait cru destinés au traitement ionisant"
"P7","Camemberts à base de lait cru après traitement ionisant"
"Q1","Beurre à base de lait pasteurisé"
"Q2","Beurre à base de lait cru"
"Q3","Corps gras à base de matière grasse butyrique"
"Q4","Beurre concentré"
"Q5","Margarine"
"Q6","Qualité France - Raclette (critère spécifique QF)"
"Q7","Qualité France - Carré de Lorraine (Critère spécifique QF)"
"Q8","Qualité France - Crème fluide Alsace (critère spécifique QF)"
"Q9","Qualité France - Viandes hachées (Critère spécifique QF)"
"Q10","Qualité France - Aliment poule pondeuse (Critère spécifique QF)"
"Q11","Qualité France - Chiffonettes sur fond de cage (Critère spécifique QF)"
"R1","Blancs d'oeufs non pasteurisés"
"S1","Graisse animale non fondue (toutes espèces)"
"S2","Graisse animale fondue"
"S3","Huiles de beurre, matières grasses de lait anhydre, beurre concentré"
"S4","Caséines, caséinates"
"U1","Légumes surgelés - Fruits surgelés"
"U2","Légumes et fruits surgelés ayant subi une manipulation"
"U3","Légumes déshydratés ou lyophilisés"
"U4","Flocons de pommes de terre déshydratées pour purée"
"U5","Algues destinées à la consommation humaine"
"U6","Plantes médicinales"
"V1","ABVT 1: Poissons crus non cartilagineux"
"V2","ABVT 2: Poissons crus cartilagineux (raie, saumonette, requin)"
"V3","ABVT 3: Viandes crues"
"V4","ABVT 4: Crustacés frais ou en conserve (crevettes, ...)"
"V5","ABVT 5: Conserves de thon et de saumon"
"W1","Monoprix - Sirops, Sodas, Jus (Critère spécifique Monoprix)"
"W6","Produits sans critères"
"W8","Critère Opération Listeria"
"W9","Recherche de Listeria sur prélèvement de surface"
"X1","Produits 4ème gamme au stade de la production"
"X2","Produits 4ème gamme au stade de la production"
"X3","Produits végétaux crus ayant fait l'objet d'un épluchage, coupage, ou de"
"X4","Préparations de végétaux crus comportant de la semoule et/ou des produits"
"X5","Graines germées"
"X6","Produits végétaux ensaucés"
"X8","Crudités + charcuteries cuites/fromages frais/yaourts/mayonnaise/sandwich"
"Y4","McDo: Jus d'orange"
"Y5","McDo: Salades autres que Chef et Jardin"
"Y6","Prélèvement de surface zone 1 par 10 cm²"
"Y7","Prélèvement de surface zone 2 par 10 cm²"
"Y8","Prélèvement de surface zones 3 et 4 par 10 cm²"
"Y9","Prélèvement de surface article textile désinfecté par 10 cm²"
"Y10","Critères pour l'accompagnement des salades McDo"
"Z4","McDo: Glaçons (Critère spécifique McDonald's)"
"Z5","Pâtes fraiches, raviolis, cannellonis, lasagnes..., quenelles, plats"
"Z6","Viandes hachées avec fromage, préparations de viandes et morceaux de moins"
"Z7","McDo: Salade Chef et salade Jardin"
"Z8","McDo: Big Mac, Mc Chicken"
"Z9","Critère spécifique DR5: Peau de cou de volaille"
